Date,XLK,^GSPC,^TNX,^VIX
2010-01-04,9.378782272338867,1132.989990234375,3.8410000801086426,20.040000915527344
2010-01-05,9.366694450378418,1136.52001953125,3.755000114440918,19.350000381469727
2010-01-06,9.26190185546875,1137.1400146484375,3.808000087738037,19.15999984741211
2010-01-07,9.225628852844238,1141.68994140625,3.822000026702881,19.059999465942383
2010-01-08,9.286080360412598,1144.97998046875,3.808000087738037,18.1299991607666
2010-01-11,9.249812126159668,1146.97998046875,3.818000078201294,17.549999237060547
2010-01-12,9.149046897888184,1136.219970703125,3.7190001010894775,18.25
2010-01-13,9.237720489501953,1145.6800537109375,3.7829999923706055,17.850000381469727
2010-01-14,9.26190185546875,1148.4599609375,3.7339999675750732,17.6299991607666
2010-01-15,9.132926940917969,1136.030029296875,3.6760001182556152,17.90999984741211
2010-01-19,9.290112495422363,1150.22998046875,3.7070000171661377,17.579999923706055
2010-01-20,9.14098834991455,1138.0400390625,3.6589999198913574,18.68000030517578
2010-01-21,9.044257164001465,1116.47998046875,3.6110000610351562,22.270000457763672
2010-01-22,8.729887008666992,1091.760009765625,3.5980000495910645,27.309999465942383
2010-01-25,8.802433967590332,1096.780029296875,3.630000114440918,25.40999984741211
2010-01-26,8.77824878692627,1092.1700439453125,3.630000114440918,24.549999237060547
2010-01-27,8.850793838500977,1097.5,3.6440000534057617,23.139999389648438
2010-01-28,8.596881866455078,1084.530029296875,3.6579999923706055,23.729999542236328
2010-01-29,8.447755813598633,1073.8699951171875,3.6089999675750732,24.6200008392334
2010-02-01,8.544488906860352,1089.18994140625,3.6540000438690186,22.59000015258789
2010-02-02,8.629120826721191,1103.3199462890625,3.634999990463257,21.479999542236328
2010-02-03,8.649272918701172,1097.280029296875,3.703000068664551,21.600000381469727
2010-02-04,8.407451629638672,1063.1099853515625,3.609999895095825,26.079999923706055
2010-02-05,8.49209213256836,1066.18994140625,3.5460000038146973,26.110000610351562
2010-02-08,8.455817222595215,1056.739990234375,3.5920000076293945,26.510000228881836
2010-02-09,8.528365135192871,1070.52001953125,3.632999897003174,26.0
